OTU_ID	TMCA10	TMCA11	TMCA12	TMCA1	TMCA2	TMCA3	TMCA4	TMCA5	TMCA6	TMCA7	TMCA8	TMCA9	TMCB10	TMCB11	TMCB12	TMCB1	TMCB2	TMCB3	TMCB4	TMCB5	TMCB6	TMCB7	TMCB8	TMCB9	TMCC10	TMCC11	TMCC12	TMCC1	TMCC2	TMCC3	TMCC4	TMCC5	TMCC6	TMCC7	TMCC8	TMCC9	TMCD10	TMCD11	TMCD12	TMCD1	TMCD2	TMCD3	TMCD4	TMCD5	TMCD6	TMCD7	TMCD8	TMCD9	TMCE11	TMCE12	TMCE1	TMCE2	TMCE3	TMCE4	TMCE5	TMCE6	TMCE7	TMCE8	TMCF10	TMCF11	TMCF12	TMCF1	TMCF2	TMCF3	TMCF4	TMCF5	TMCF6	TMCF7	TMCF8	TMCF9	TMCG10	TMCG12	TMCG1	TMCG3	TMCG4	TMCG5	TMCG6	TMCG7	TMCG8	TMCG9	TMCH10	TMCH11	TMCH12	TMCH1	TMCH3	TMCH4	TMCH6	TMCH7	TMCH8	TMCH9	TMCI10	TMCI11	TMCI12	TMCI1	TMCI2	TMCI3	TMCI4	TMCI5	TMCI6	TMCI7	TMCI8	TMCI9	TMCJ10	TMCJ11	TMCJ12	TMCJ1	TMCJ2	TMCJ3	TMCJ4	TMCJ5	TMCJ6	TMCJ7	TMCJ8	TMCJ9	TMCK10	TMCK11	TMCK12	TMCK1	TMCK2	TMCK3	TMCK4	TMCK5	TMCK6	TMCK7	TMCK8	TMCK9	TMCL10	TMCL11	TMCL12	TMCL1	TMCL2	TMCL3	TMCL4	TMCL5	TMCL6	TMCL7	TMCL8	TMCL9
529644	3	2	1	3	0	3	0	0	2	9	5	0	6	7	3	12	10	3	0	2	5	2	4	2	1	1	3	1	1	3	0	4	6	1	12	2	10	1	8	7	8	5	1	5	8	4	3	2	4	1	7	8	6	4	4	3	3	2	3	8	7	6	5	5	3	0	0	2	2	6	2	3	6	3	5	2	1	2	4	5	7	7	2	6	3	1	1	2	1	5	2	7	5	1	3	3	2	4	3	2	1	1	4	5	7	2	0	1	1	3	5	6	1	1	2	8	1	5	3	1	3	2	1	2	2	1	6	2	5	0	8	6	0	3	4	5	1	0
4374731	0	0	1	3	1	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	2	3	0	5	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	2	0	1	1	1	1	2	1	1	0	2	1	3	2	1	0	0	0	3	2	1	1	2	0	3	3	0	0	0	0	0	0	1	2	2	2	0	1	0	0	0	0	0	1	0	4	0	0	0	1	0	0	0	0	0	1	1	1	0	4	0	2	0	0	0	0	1	1	0
4298129	6	2	1	1	0	0	2	1	4	1	2	1	1	1	3	0	2	0	1	0	0	1	1	1	0	0	1	2	1	2	3	2	0	1	0	0	2	2	3	1	0	0	1	0	0	0	0	0	0	5	1	0	0	1	2	0	0	1	3	0	2	2	1	1	1	0	0	1	1	0	2	1	0	0	0	1	2	3	0	0	2	3	3	0	1	0	3	1	1	0	2	1	1	0	2	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	3	0	1	1	0	0	0	0	2	1	0	0	3	0	0	3	0	0	0	0	0	0	0	0	2
676787	1	1	0	2	1	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	1	2	1	1	0	2	1	0	0	0	3	0	0	6	0	0	0	0	1	0	0	0	0	0	0	2	2	4	1	0	0	0	0	1	1	0	1	1	2	0	0	0	0	0	4	3	1	2	0	1	2	0	0	0	0	2	2	0	2	1	1	1	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	5	0	0	0	2	0	0	0	0	1	0	0	1	0	0	2	0	1	3	0	0	0	0	0	0	2	0	2	5
207866	10	4	5	5	1	2	7	6	3	5	8	5	8	3	3	4	3	1	15	1	3	8	2	9	7	3	3	3	0	4	5	3	1	1	6	0	4	0	5	5	5	3	15	3	4	1	4	3	0	1	4	5	5	7	13	2	1	3	19	1	6	4	7	3	7	1	1	3	5	0	5	5	3	8	7	6	6	2	2	4	9	4	8	1	4	3	1	2	8	3	0	1	1	9	3	5	6	5	6	5	0	1	3	4	4	2	3	6	3	2	0	7	1	2	3	7	5	7	0	3	4	4	4	0	3	3	4	4	6	4	1	6	4	1	6	3	7	4
254116	47	27	64	30	21	24	28	51	30	40	37	55	48	35	42	35	28	18	51	62	42	31	48	48	45	18	31	32	18	30	47	63	49	29	37	22	36	36	38	34	37	20	28	34	31	19	28	15	23	26	27	20	21	20	35	52	37	25	39	28	34	32	23	28	35	29	31	39	49	29	34	38	41	24	30	37	38	36	37	24	33	23	47	50	42	35	15	37	34	41	45	25	22	43	54	36	35	38	52	47	22	36	42	48	36	36	35	49	37	32	50	48	32	31	55	29	39	40	45	62	52	44	40	67	42	32	36	39	27	12	16	23	34	40	57	34	31	29
748070	14	36	25	35	28	12	18	16	22	29	28	37	17	25	41	49	37	27	29	9	22	12	16	19	17	50	40	55	36	19	14	9	22	17	28	64	39	42	31	52	40	32	22	20	24	39	56	72	84	49	34	27	62	25	27	16	10	29	53	67	36	68	53	21	14	8	8	14	23	26	24	39	30	53	74	60	59	20	43	37	39	47	24	43	24	9	28	37	54	23	17	34	45	56	33	14	15	21	18	10	21	25	21	31	25	40	22	13	26	10	22	12	27	16	26	42	33	41	13	12	16	25	9	10	12	32	34	39	45	50	40	47	57	29	26	30	27	30
803166	5	4	0	2	1	2	2	2	1	1	2	3	1	4	3	1	0	8	4	6	2	8	8	6	2	1	3	6	4	4	2	3	0	3	7	5	5	5	2	1	2	5	3	2	3	4	0	1	2	2	2	6	3	7	2	1	2	3	2	9	4	2	3	3	3	4	2	0	2	0	1	1	5	8	2	1	2	4	2	1	8	4	6	8	2	1	2	0	2	1	3	2	2	5	0	2	3	8	4	3	0	3	3	2	3	9	4	0	5	5	3	5	0	0	5	7	1	0	2	3	0	8	4	4	5	3	8	1	4	1	1	5	6	5	6	2	1	4
979598	0	0	0	2	0	1	1	5	1	2	0	0	1	1	0	0	1	3	1	2	0	0	0	0	1	0	1	0	0	2	0	4	0	1	1	3	0	0	1	0	1	0	0	0	1	1	0	0	1	1	1	0	0	3	3	3	0	1	0	1	0	0	0	0	0	2	0	0	3	1	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	3	0	1	0	0	0	0	1	0	0	0	2	1	0	1	2	0	0	0	1	0	0	0	0	0	1	0	3	0
2841300	28	37	15	4	3	5	10	18	9	9	19	2	10	13	22	2	0	5	11	17	11	8	12	10	2	9	3	4	4	2	6	7	2	3	5	3	4	5	9	2	0	3	0	12	7	1	4	1	3	1	3	4	5	9	6	4	3	5	6	2	7	3	6	5	2	3	4	2	5	1	6	3	3	4	3	0	4	0	2	0	9	5	26	1	7	3	3	2	1	5	6	1	7	0	4	5	5	9	3	5	7	2	0	10	8	0	5	9	1	3	7	4	7	3	6	1	4	0	7	3	10	16	4	6	2	0	2	1	13	9	7	7	3	8	5	1	1	1
