,Kingdom,Phylum,Class,Order,Family,Genus,Species 
OTU1211,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1212,Fungi,Ascomycota,Sordariomycetes,Microascales,Unclassified,Unclassified,Unclassified
OTU1213,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Unclassified,Unclassified,Unclassified
OTU1214,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1215,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1220,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1216,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1217,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Aplosporellaceae,Unclassified,Unclassified
OTU1218,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Unclassified,Unclassified,Unclassified
OTU1219,Fungi,Ascomycota,Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU1221,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1222,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1223,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporales_fam_Incertae_sedis,Entrophospora,Unclassified
OTU1225,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1224,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_oxysporum_SH200825.07FU
OTU1231,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1227,Fungi,Ascomycota,Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU1226,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1228,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporales_fam_Incertae_sedis,Entrophospora,Unclassified
OTU1229,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1230,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Unclassified,Unclassified,Unclassified
OTU1233,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1234,Fungi,Ascomycota,Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU1235,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1232,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU1236,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Unclassified,Unclassified,Unclassified
OTU1239,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1237,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1241,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1238,Fungi,Basidiomycota,Cystobasidiomycetes,Cystobasidiomycetes_ord_Incertae_sedis,Cystobasidiomycetes_fam_Incertae_sedis,Symmetrospora,Unclassified
OTU1240,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1242,Fungi,Ascomycota,Orbiliomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU1244,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1243,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Unclassified
OTU1245,Fungi,Ascomycota,Leotiomycetes,Helotiales,Unclassified,Unclassified,Unclassified
OTU1246,Fungi,Ascomycota,Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU1250,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1248,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Myrothecium,Unclassified
OTU1247,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Unclassified,Unclassified
OTU1249,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1251,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Unclassified,Unclassified
OTU1254,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia_globosa_SH184033.07FU
OTU1252,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1253,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Unclassified,Unclassified
OTU1256,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Unclassified,Unclassified
OTU1255,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Unclassified
OTU1259,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Unclassified,Unclassified,Unclassified
OTU1260,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Unclassified,Unclassified
OTU1257,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1258,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1261,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1263,Fungi,Ascomycota,Leotiomycetes,Helotiales,Unclassified,Unclassified,Unclassified
OTU1265,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1262,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Unclassified,Unclassified
OTU1264,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1267,,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1266,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Unclassified,Unclassified,Unclassified
OTU1270,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1269,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1268,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Unclassified,Unclassified,Unclassified
OTU1271,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Udeniomyces,Udeniomyces_pyricola_SH192065.07FU
OTU1272,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Unclassified,Unclassified
OTU1274,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1273,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1275,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Unclassified,Unclassified
OTU1276,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1277,Fungi,Basidiomycota,Agaricomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU1278,,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1279,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Unclassified,Unclassified,Unclassified
OTU1280,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,Unclassified
OTU1282,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1284,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1283,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1281,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1285,Fungi,Ascomycota,Leotiomycetes,Helotiales,Unclassified,Unclassified,Unclassified
OTU1286,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Unclassified,Unclassified,Unclassified
OTU1287,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Unclassified
OTU1288,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1289,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Unclassified
OTU1290,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1291,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1292,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporales_fam_Incertae_sedis,Entrophospora,Unclassified
OTU1293,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1294,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Alphamycetaceae,Betamyces,Betamyces_americae-meridionalis_SH027198.07FU
OTU1297,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1298,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1295,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,Unclassified
OTU1296,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Unclassified,Unclassified
OTU1299,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1301,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiaceae,Rhizophydium,Unclassified
OTU1300,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Lycoperdon,Unclassified
OTU1302,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1303,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1305,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1304,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1306,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Unclassified,Unclassified
OTU1308,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Unclassified,Unclassified,Unclassified
OTU1309,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Amaurodon,Amaurodon_mustialaensis_SH177588.07FU
OTU1307,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1310,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1311,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1312,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Neodevriesiaceae,Neodevriesia,Neodevriesia_poagena_SH206058.07FU
OTU1314,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Unclassified,Unclassified
OTU1313,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1315,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1316,Fungi,Basidiomycota,Agaricomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU1317,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Unclassified,Unclassified,Unclassified
OTU1319,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1318,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1320,Fungi,Basidiomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1321,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1322,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Unclassified,Unclassified,Unclassified
OTU1324,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1325,Fungi,Ascomycota,Leotiomycetes,Helotiales,Leotiaceae,Neobulgaria,Unclassified
OTU1323,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1326,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Unclassified,Unclassified,Unclassified
OTU1327,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Unclassified,Unclassified
OTU1329,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1328,Fungi,Basidiomycota,Agaricomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU1330,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1331,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1335,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1332,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Articulospora,Unclassified
OTU1333,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1336,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Unclassified,Unclassified,Unclassified
OTU1334,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1338,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1337,Fungi,Glomeromycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1339,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1341,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Unclassified,Unclassified
OTU1340,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,Unclassified
OTU1342,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1343,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Unclassified,Unclassified,Unclassified
OTU1344,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cladorrhinum,Cladorrhinum_flexuosum_SH181894.07FU
OTU1345,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1346,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1347,Fungi,Ascomycota,Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU1348,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1349,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Unclassified
OTU1350,Fungi,Basidiomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1351,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1352,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1353,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Unclassified
OTU1354,Fungi,Ascomycota,Dothideomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU1357,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Unclassified,Unclassified,Unclassified
OTU1356,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1355,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Unclassified,Unclassified,Unclassified
OTU1358,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1361,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1360,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporales_fam_Incertae_sedis,Entrophospora,Unclassified
OTU1362,Fungi,Basidiomycota,Agaricomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU1359,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus_intraradices_SH020151.07FU
OTU1365,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1363,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1366,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1367,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Unclassified
OTU1364,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1368,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Unclassified,Unclassified,Unclassified
OTU1369,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1370,Fungi,Ascomycota,Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU1371,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1373,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1372,Fungi,Ascomycota,Leotiomycetes,Helotiales,Unclassified,Unclassified,Unclassified
OTU1374,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1376,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1375,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1377,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Unclassified,Unclassified
OTU1378,Fungi,Basidiomycota,Agaricomycetes,Tremellodendropsidales,Unclassified,Unclassified,Unclassified
OTU1379,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariales_fam_Incertae_sedis,Ramophialophora,Ramophialophora_humicola_SH215228.07FU
OTU1380,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Unclassified,Unclassified,Unclassified
OTU1381,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Unclassified,Unclassified,Unclassified
OTU1382,Fungi,Basidiomycota,Agaricomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU1383,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Paraglomus_brasilianum_SH215636.07FU
OTU1387,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1385,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1384,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1386,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1388,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1390,Fungi,Chytridiomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1389,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Hannaella,Hannaella_luteola_SH180500.07FU
OTU1395,Fungi,Basidiomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1391,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1392,Fungi,Ascomycota,Dothideomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU1393,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Unclassified,Unclassified,Unclassified
OTU1394,Fungi,Ascomycota,Sordariomycetes,Sordariales,Unclassified,Unclassified,Unclassified
OTU1397,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Unclassified,Unclassified,Unclassified
OTU1396,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces_luteus_SH208846.07FU
OTU1398,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Zymoseptoria,Unclassified
OTU1399,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1400,Fungi,Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1402,Fungi,Ascomycota,Sordariomycetes,Sordariales,Unclassified,Unclassified,Unclassified
OTU1401,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU1403,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1405,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1407,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1404,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1406,Fungi,Chytridiomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1408,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Unclassified,Unclassified,Unclassified
OTU1409,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudopithomyces,Unclassified
OTU1410,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Unclassified
OTU1413,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1411,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Tremella,Unclassified
OTU1412,Fungi,Basidiomycota,Tremellomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU1418,Fungi,Kickxellomycota,Kickxellomycetes,Kickxellales,Kickxellaceae,Ramicandelaber,Ramicandelaber_taiwanensis_SH184018.07FU
OTU1416,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Unclassified,Unclassified
OTU1414,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Unclassified,Unclassified,Unclassified
OTU1415,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Perenniporia,Perenniporia_ellipsospora_SH179662.07FU
OTU1417,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Agrocybe,Agrocybe_praecox_SH176909.07FU
OTU1419,Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,Unclassified
OTU1420,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1426,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1421,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1424,Fungi,Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1423,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium,Unclassified
OTU1425,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1427,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1422,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1428,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Unclassified,Unclassified,Unclassified
OTU1429,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Unclassified,Unclassified,Unclassified
OTU1430,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Unclassified
OTU1432,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1435,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1433,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporales_fam_Incertae_sedis,Entrophospora,Unclassified
OTU1434,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Unclassified,Unclassified,Unclassified
OTU1431,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Gigaspora,Unclassified
OTU1436,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporales_fam_Incertae_sedis,Entrophospora,Unclassified
OTU1437,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Unclassified,Unclassified
OTU1438,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1439,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Unclassified,Unclassified,Unclassified
OTU1442,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1440,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Unclassified,Unclassified,Unclassified
OTU1446,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1445,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1441,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Cetraspora,Cetraspora_gilmorei_SH203806.07FU
OTU1443,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Unclassified,Unclassified,Unclassified
OTU1444,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1447,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1449,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Kernia,Kernia_pachypleura_SH013616.07FU
OTU1448,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1452,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1450,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1453,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma_heimaeyensis_SH181631.07FU
OTU1451,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1454,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Unclassified,Unclassified
OTU1455,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Cryptococcus,Unclassified
OTU1456,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1457,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1458,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Unclassified,Unclassified,Unclassified
OTU1461,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Unclassified,Unclassified,Unclassified
OTU1462,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1460,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1459,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusicolla,Fusicolla_acetilerea_SH175301.07FU
OTU1466,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1464,Fungi,Ascomycota,Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU1463,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1465,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1468,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Unclassified,Unclassified,Unclassified
OTU1467,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1471,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1475,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1469,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida_versatilis_SH468466.07FU
OTU1470,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Unclassified,Unclassified,Unclassified
OTU1476,Fungi,Kickxellomycota,Kickxellomycetes,Kickxellales,Kickxellaceae,Ramicandelaber,Unclassified
OTU1474,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Unclassified
